"county","observation_count","locality_type","latitude","longitude","observation_date","time_observations_started","protocol_type","duration_minutes","effort_distance_km","number_observers","year","month","day","season","time_of_day"
"Erie",4,"H",42.8462509,-78.8594553,2023-04-14,"19:36:00","Traveling",114,1.92,14,2023,4,14,"Spring","Evening"
"Chautauqua",1,"P",42.170002,-79.475503,2023-04-29,"20:39:00","Stationary",6,NA,2,2023,4,29,"Spring","Evening"
"Essex",1,"P",43.82493,-73.497872,2023-04-30,"07:55:00","Traveling",88,2.971,2,2023,4,30,"Spring","Morning"
"Westchester",3,"H",41.1871668,-73.8891219,2023-03-21,"18:13:00","Traveling",101,1.314,3,2023,3,21,"Spring","Evening"
"Essex",3,"P",43.8153306,-73.4983635,2023-05-03,"20:13:00","Stationary",3,NA,2,2023,5,3,"Spring","Evening"
"Essex",3,"P",43.833262,-73.775218,2023-05-04,"19:26:00","Traveling",66,1.917,2,2023,5,4,"Spring","Evening"
"Niagara",1,"H",43.1883732,-78.6652002,2023-05-04,"20:51:00","Traveling",51,2.092,3,2023,5,4,"Spring","Evening"
"Tompkins",1,"H",42.5329115,-76.3534811,2023-05-05,"19:45:00","Stationary",73,NA,3,2023,5,5,"Spring","Evening"
"Tompkins",4,"H",42.4959541,-76.4513443,2023-05-05,"20:56:00","Stationary",7,NA,2,2023,5,5,"Spring","Evening"
"Oneida",2,"P",43.275202,-75.772431,2023-05-05,"20:31:00","Stationary",3,NA,2,2023,5,5,"Spring","Evening"
"Monroe",5,"H",43.30365,-77.7163028,2023-05-05,"19:56:00","Stationary",67,NA,2,2023,5,5,"Spring","Evening"
"Niagara",2,"P",43.324699,-78.668107,2023-05-05,"20:57:00","Stationary",6,NA,3,2023,5,5,"Spring","Evening"
"Monroe",1,"H",43.2888115,-77.6760221,2023-05-06,"07:13:00","Traveling",143,1.366,20,2023,5,6,"Spring","Morning"
"Monroe",1,"H",43.2829228,-77.7268553,2023-05-06,"13:00:00","Traveling",232,0.483,4,2023,5,6,"Spring","Afternoon"
"Suffolk",1,"H",40.7921091,-72.7785873,2023-05-07,"13:08:00","Traveling",91,0.644,2,2023,5,7,"Spring","Afternoon"
"Seneca",1,"H",42.8990464,-76.755289,2023-05-08,"14:40:00","Traveling",84,2.511,2,2023,5,8,"Spring","Afternoon"
"Niagara",6,"H",43.10575,-78.47706,2023-05-06,"20:33:00","Traveling",34,7.081,2,2023,5,6,"Spring","Evening"
"Allegany",2,"P",42.2230298,-77.9863214,2023-04-30,"20:21:00","Stationary",5,NA,2,2023,4,30,"Spring","Evening"
"Monroe",1,"H",43.290592,-77.6757646,2023-05-08,"07:06:00","Traveling",77,0.483,2,2023,5,8,"Spring","Morning"
"Oswego",1,"H",43.5166667,-76.2333333,2023-05-09,"20:23:00","Stationary",25,NA,2,2023,5,9,"Spring","Evening"
"St. Lawrence",1,"P",44.459762,-75.230182,2023-05-09,"20:44:00","Stationary",3,NA,2,2023,5,9,"Spring","Evening"
"St. Lawrence",3,"H",44.6000017,-75.2554893,2023-05-07,"13:50:00","Traveling",455,38.624,5,2023,5,7,"Spring","Afternoon"
"Suffolk",2,"H",40.6396373,-73.3255986,2023-05-03,"21:02:00","Traveling",122,1.609,3,2023,5,3,"Spring","Night"
"Rockland",2,"P",41.22971,-74.090152,2023-05-11,"05:01:00","Traveling",59,0.805,5,2023,5,11,"Spring","Morning"
"Chautauqua",1,"H",42.4220913,-79.4281205,2023-05-11,"19:18:00","Traveling",54,2.208,2,2023,5,11,"Spring","Evening"
"Tompkins",2,"H",42.3860243,-76.3019298,2023-05-11,"20:21:00","Traveling",13,0.628,2,2023,5,11,"Spring","Evening"
"Niagara",1,"P",43.320915,-78.574916,2023-05-11,"21:04:00","Stationary",4,NA,2,2023,5,11,"Spring","Night"
"Wayne",1,"H",43.28386,-76.9222569,2023-05-12,"04:20:00","Traveling",337,7.757,1,2023,5,12,"Spring","Night"
"New York",1,"H",40.7536729,-73.9832322,2023-04-27,"18:20:00","Traveling",75,0.805,5,2023,4,27,"Spring","Evening"
"Genesee",4,"P",43.108895,-78.421999,2023-05-12,"06:00:00","Traveling",240,4.828,2,2023,5,12,"Spring","Morning"
"Oswego",3,"P",43.655825,-76.083313,2023-05-12,"20:04:00","Traveling",108,22.211,2,2023,5,12,"Spring","Evening"
"Monroe",1,"H",43.3039758,-77.7133369,2023-05-13,"03:57:00","Traveling",13,0.22,2,2023,5,13,"Spring","Night"
"Tompkins",1,"H",42.4976053,-76.4600587,2023-05-13,"04:10:00","Traveling",14,1.851,4,2023,5,13,"Spring","Night"
"Tompkins",1,"P",42.533064,-76.346069,2023-05-13,"04:27:00","Traveling",3,0.483,2,2023,5,13,"Spring","Night"
"Tompkins",1,"P",42.3437061,-76.4934199,2023-05-13,"05:13:00","Stationary",2,NA,4,2023,5,13,"Spring","Morning"
"Kings",5,"H",40.5923453,-73.8914328,2023-05-13,"04:08:00","Traveling",40,1.968,6,2023,5,13,"Spring","Night"
"New York",1,"H",40.7536729,-73.9832322,2023-05-13,"16:48:00","Traveling",11,0.391,2,2023,5,13,"Spring","Afternoon"
"Sullivan",3,"P",41.588963,-74.465191,2023-05-13,"20:47:00","Traveling",5,1.305,2,2023,5,13,"Spring","Evening"
"Essex",2,"P",43.818195,-73.496303,2023-05-13,"20:41:00","Traveling",25,0.805,2,2023,5,13,"Spring","Evening"
"Monroe",1,"H",43.3626297,-77.9489422,2023-05-13,"05:08:00","Stationary",7,NA,2,2023,5,13,"Spring","Morning"
"Monroe",3,"P",43.3228059,-77.7293652,2023-05-13,"04:49:00","Traveling",8,0.43,2,2023,5,13,"Spring","Night"
"Monroe",1,"H",43.3039758,-77.7133369,2023-05-12,"22:18:00","Traveling",25,0.61,2,2023,5,12,"Spring","Night"
"Westchester",1,"H",41.2071196,-73.8513355,2023-05-13,"18:25:00","Traveling",90,2.205,2,2023,5,13,"Spring","Evening"
"Cayuga",2,"H",42.6674167,-76.3267422,2023-05-13,"05:01:00","Traveling",30,1.12,3,2023,5,13,"Spring","Morning"
"Sullivan",1,"P",41.568442,-74.48384,2023-05-13,"04:18:00","Stationary",5,NA,2,2023,5,13,"Spring","Night"
"Sullivan",1,"H",41.5384264,-74.5156422,2023-05-13,"04:00:00","Traveling",300,8.047,2,2023,5,13,"Spring","Night"
"Jefferson",1,"P",44.0737248,-75.73897,2023-05-13,"05:20:00","Traveling",190,3.219,2,2023,5,13,"Spring","Morning"
"Tompkins",5,"H",42.5329115,-76.3534811,2023-05-15,"18:00:00","Traveling",185,1.304,2,2023,5,15,"Spring","Evening"
"Monroe",1,"H",43.3201355,-77.7264261,2023-05-11,"20:21:00","Traveling",65,0.901,3,2023,5,11,"Spring","Evening"
"Hamilton",1,"P",43.7516428,-74.2375302,2023-05-15,"20:43:00","Stationary",8,NA,2,2023,5,15,"Spring","Evening"
"New York",1,"H",40.7536729,-73.9832322,2023-04-27,"17:04:00","Traveling",70,1.159,2,2023,4,27,"Spring","Evening"
"New York",1,"H",40.7536729,-73.9832322,2023-05-18,"09:00:00","Traveling",30,0.161,2,2023,5,18,"Spring","Morning"
"Tompkins",1,"H",42.3450877,-76.4879603,2023-05-18,"20:50:00","Stationary",4,NA,4,2023,5,18,"Spring","Evening"
"Essex",4,"P",43.818195,-73.496303,2023-05-18,"19:33:00","Traveling",106,0.966,2,2023,5,18,"Spring","Evening"
"Wayne",1,"H",43.28386,-76.9222569,2023-05-18,"21:26:00","Traveling",81,2.784,2,2023,5,18,"Spring","Night"
"Oneida",2,"H",43.1530602,-75.5845785,2023-05-20,"01:10:00","Traveling",23,0.209,2,2023,5,20,"Spring","Night"
"Tompkins",1,"H",42.4796874,-76.4509829,2023-05-16,"14:44:00","Traveling",14,0.225,2,2023,5,16,"Spring","Afternoon"
"New York",1,"H",40.7536729,-73.9832322,2023-05-20,"13:39:00","Traveling",63,2.301,2,2023,5,20,"Spring","Afternoon"
"Monroe",1,"H",43.3191364,-77.7141094,2023-05-20,"08:03:00","Traveling",183,2.414,2,2023,5,20,"Spring","Morning"
"Orange",8,"H",41.2822012,-74.5270966,2023-05-20,"01:29:00","Traveling",93,0.966,3,2023,5,20,"Spring","Night"
"Fulton",1,"H",43.0689349,-74.6717227,2023-05-21,"16:16:00","Traveling",47,0.483,2,2023,5,21,"Spring","Afternoon"
"Monroe",2,"H",43.3201355,-77.7264261,2023-05-21,"19:45:00","Traveling",90,1.609,2,2023,5,21,"Spring","Evening"
"Warren",3,"P",43.669365,-73.513064,2023-05-21,"20:42:00","Traveling",26,5.687,2,2023,5,21,"Spring","Evening"
"Albany",1,"P",42.72582,-74.06848,2023-05-19,"20:32:00","Stationary",4,NA,3,2023,5,19,"Spring","Evening"
"Wayne",2,"H",43.28386,-76.9222569,2023-05-19,"04:30:00","Traveling",200,3.219,2,2023,5,19,"Spring","Night"
"Tompkins",2,"H",42.3851605,-76.3957608,2023-05-22,"07:04:00","Traveling",186,3.38,4,2023,5,22,"Spring","Morning"
"Niagara",1,"P",43.270437,-78.520138,2023-05-21,"04:06:00","Traveling",77,30.777,4,2023,5,21,"Spring","Night"
"Jefferson",4,"P",44.0347154,-75.6384324,2023-05-24,"04:18:00","Traveling",13,0.467,2,2023,5,24,"Spring","Night"
"St. Lawrence",1,"P",44.2323382,-74.5743601,2023-05-25,"21:15:00","Stationary",10,NA,1,2023,5,25,"Spring","Night"
"St. Lawrence",1,"P",44.2163305,-74.6194404,2023-05-25,"20:54:00","Stationary",5,NA,1,2023,5,25,"Spring","Evening"
"St. Lawrence",5,"P",44.2190752,-74.5807347,2023-05-25,"19:20:00","Traveling",82,2.575,1,2023,5,25,"Spring","Evening"
"New York",1,"H",40.7536729,-73.9832322,2023-05-26,"17:10:00","Traveling",65,0.483,22,2023,5,26,"Spring","Evening"
"Monroe",3,"H",43.3201355,-77.7264261,2023-05-28,"21:02:00","Traveling",46,1.227,3,2023,5,28,"Spring","Night"
"Westchester",1,"H",41.2071196,-73.8513355,2023-05-28,"19:40:00","Traveling",65,1.368,2,2023,5,28,"Spring","Evening"
"Essex",1,"P",43.818195,-73.496303,2023-05-30,"20:57:00","Traveling",40,0.966,2,2023,5,30,"Spring","Evening"
"Monroe",1,"H",43.3191364,-77.7141094,2023-05-31,"07:38:00","Traveling",103,0.322,2,2023,5,31,"Spring","Morning"
"Essex",1,"H",44.2547,-73.4531,2023-05-29,"07:35:00","Traveling",90,1.448,5,2023,5,29,"Spring","Morning"
"Chemung",1,"P",42.2684747,-76.5388437,2023-06-01,"21:03:00","Stationary",8,NA,2,2023,6,1,"Summer","Night"
"Kings",7,"H",40.5923453,-73.8914328,2023-05-01,"04:33:00","Traveling",35,0.805,2,2023,5,1,"Spring","Night"
"St. Lawrence",2,"P",44.8565164,-74.9837553,2023-06-04,"20:45:00","Traveling",36,6.985,3,2023,6,4,"Summer","Evening"
"St. Lawrence",1,"H",44.9178477,-75.0435128,2023-06-04,"21:40:00","Traveling",17,1.4,3,2023,6,4,"Summer","Night"
"Erie",2,"H",42.8462509,-78.8594553,2023-04-15,"11:30:00","Traveling",178,2.82,2,2023,4,15,"Spring","Morning"
"Greene",4,"H",42.2384937,-74.1163263,2023-04-14,"19:38:00","Traveling",42,0.344,3,2023,4,14,"Spring","Evening"
"Onondaga",1,"H",43.207691,-76.338582,2023-05-20,"21:51:00","Traveling",56,0.515,1,2023,5,20,"Spring","Night"
"Monroe",1,"H",43.3191364,-77.7141094,2023-06-02,"07:11:00","Traveling",135,0.483,1,2023,6,2,"Summer","Morning"
"Dutchess",2,"P",41.888822,-73.728991,2022-06-05,"21:27:00","Stationary",10,NA,1,2022,6,5,"Summer","Night"
"Nassau",1,"H",40.5945237,-73.5104002,2023-05-24,"20:37:00","Stationary",5,NA,2,2023,5,24,"Spring","Evening"
"Onondaga",5,"H",43.207691,-76.338582,2023-03-30,"19:09:00","Traveling",56,1.605,1,2023,3,30,"Spring","Evening"
"Ulster",1,"H",41.9272796,-74.0680697,2023-06-15,"10:00:00","Traveling",224,4.828,2,2023,6,15,"Summer","Morning"
"Genesee",1,"H",43.0938068,-78.0246663,2023-06-17,"07:23:00","Traveling",216,4.618,17,2023,6,17,"Summer","Morning"
"Tompkins",1,"H",42.4774268,-76.4419829,2023-06-21,"08:58:00","Traveling",127,2.575,2,2023,6,21,"Summer","Morning"
"Essex",1,"P",43.833466,-74.207523,2023-06-21,"04:51:00","Traveling",511,8.047,2,2023,6,21,"Summer","Night"
"Yates",1,"P",42.635711,-77.2249711,2023-06-10,"05:18:00","Stationary",120,NA,1,2023,6,10,"Summer","Morning"
"Essex",1,"P",43.833466,-74.207523,2023-06-20,"16:30:00","Traveling",279,7.732,2,2023,6,20,"Summer","Afternoon"
"Hamilton",1,"P",43.531901,-74.385359,2023-06-18,"08:21:00","Traveling",128,4,2,2023,6,18,"Summer","Morning"
"Schuyler",1,"P",42.5412004,-76.800036,2023-06-27,"15:59:00","Traveling",59,0.805,2,2023,6,27,"Summer","Afternoon"
"Madison",2,"P",42.826347,-75.3086306,2023-06-29,"09:03:00","Traveling",77,0.805,2,2023,6,29,"Summer","Morning"
"Franklin",1,"P",44.452855,-74.374585,2023-06-30,"21:15:00","Stationary",2,NA,5,2023,6,30,"Summer","Night"
"St. Lawrence",1,"H",44.2271815,-74.6824651,2023-07-01,"07:12:00","Traveling",61,2.494,5,2023,7,1,"Summer","Morning"
"Suffolk",1,"H",40.8796486,-72.7195761,2023-07-01,"12:38:00","Traveling",59,2.905,5,2023,7,1,"Summer","Afternoon"
"Greene",2,"P",42.289937,-73.849722,2023-05-18,"04:12:00","Stationary",4,NA,2,2023,5,18,"Spring","Night"
"Schuyler",2,"P",42.369443,-76.950464,2023-07-11,"07:21:00","Traveling",106,1.253,3,2023,7,11,"Summer","Morning"
"Essex",2,"P",43.818195,-73.496303,2023-07-13,"20:48:00","Traveling",41,0.966,2,2023,7,13,"Summer","Evening"
"Jefferson",2,"H",44.0349422,-75.6421174,2023-07-13,"19:02:00","Traveling",159,1.448,2,2023,7,13,"Summer","Evening"
"Ulster",1,"P",41.827742,-74.41939,2023-06-15,"04:43:00","Stationary",14,NA,2,2023,6,15,"Summer","Night"
"Tompkins",2,"H",42.4774268,-76.4419829,2023-07-18,"05:56:00","Traveling",248,5.295,3,2023,7,18,"Summer","Morning"
"Hamilton",1,"P",43.596889,-74.531483,2023-07-17,"07:20:00","Traveling",267,6.485,2,2023,7,17,"Summer","Morning"
"New York",1,"H",40.7536729,-73.9832322,2023-03-14,"17:26:00","Traveling",62,0.306,2,2023,3,14,"Spring","Evening"
"Tioga",2,"P",42.200946,-76.28466,2023-07-23,"10:13:00","Traveling",19,0.161,3,2023,7,23,"Summer","Morning"
"Onondaga",3,"H",43.1987046,-76.34607,2023-07-23,"14:53:00","Traveling",37,1.933,2,2023,7,23,"Summer","Afternoon"
"Essex",1,"P",43.820836,-73.494445,2023-07-29,"20:46:00","Traveling",20,0.533,2,2023,7,29,"Summer","Evening"
"Tompkins",2,"P",42.484959,-76.417943,2023-07-30,"20:55:00","Stationary",5,NA,2,2023,7,30,"Summer","Evening"
"Essex",1,"P",44.3361423,-73.776087,2023-07-29,"15:29:00","Traveling",180,5,1,2023,7,29,"Summer","Afternoon"
"Tompkins",2,"P",42.494642,-76.451753,2023-04-26,"20:12:00","Stationary",3,NA,2,2023,4,26,"Spring","Evening"
"Tompkins",2,"H",42.4379956,-76.3979816,2023-08-12,"15:10:00","Traveling",64,2.129,2,2023,8,12,"Summer","Afternoon"
"Tompkins",1,"H",42.4379956,-76.3979816,2023-08-20,"12:09:00","Traveling",114,2.794,4,2023,8,20,"Summer","Afternoon"
"Erie",1,"H",42.8821636,-78.7297356,2023-07-23,"11:08:00","Traveling",150,4,4,2023,7,23,"Summer","Morning"
"Cayuga",1,"H",43.0755965,-76.6778755,2023-09-09,"06:00:00","Traveling",56,0.57,4,2023,9,9,"Fall","Morning"
"New York",1,"H",40.796089,-73.9558947,2023-10-15,"09:54:00","Traveling",371,6.244,2,2023,10,15,"Fall","Morning"
"Chemung",1,"P",42.2684747,-76.5388437,2023-10-19,"19:01:00","Stationary",1,NA,2,2023,10,19,"Fall","Evening"
"Hamilton",1,"H",43.6755077,-74.6812391,2023-09-23,"16:38:00","Traveling",1440,11.265,2,2023,9,23,"Fall","Afternoon"
"New York",1,"H",40.7887808,-73.9219681,2023-10-23,"06:50:00","Traveling",365,5.633,2,2023,10,23,"Fall","Morning"
"New York",1,"P",40.776149,-73.975579,2023-10-24,"07:34:00","Traveling",213,3.058,3,2023,10,24,"Fall","Morning"
"New York",1,"H",40.7715482,-73.9724819,2023-10-24,"07:40:00","Traveling",625,6.437,18,2023,10,24,"Fall","Morning"
"Nassau",1,"P",40.7762193,-73.6884141,2023-10-24,"07:15:00","Traveling",240,0.805,5,2023,10,24,"Fall","Morning"
"Kings",1,"H",40.6523083,-73.9904281,2023-10-29,"07:57:00","Traveling",114,3.513,2,2023,10,29,"Fall","Morning"
"New York",4,"H",40.7887808,-73.9219681,2023-10-29,"06:51:00","Traveling",289,4.922,3,2023,10,29,"Fall","Morning"
"Kings",1,"H",40.7021612,-73.996524,2023-10-31,"18:26:00","Traveling",28,0.306,2,2023,10,31,"Fall","Evening"
"Kings",1,"H",40.6523083,-73.9904281,2023-11-05,"11:47:00","Traveling",166,6.654,1,2023,11,5,"Fall","Morning"
"Richmond",3,"H",40.5875003,-74.1851211,2023-11-10,"15:18:00","Traveling",129,2.208,1,2023,11,10,"Fall","Afternoon"
"Albany",1,"H",42.717297,-73.8818614,2023-05-28,"12:12:00","Traveling",12,0.322,2,2023,5,28,"Spring","Afternoon"
"New York",1,"H",40.7840903,-73.9259435,2023-11-19,"11:45:00","Stationary",30,NA,2,2023,11,19,"Fall","Morning"
"New York",1,"H",40.7887808,-73.9219681,2023-11-19,"06:10:00","Traveling",250,7.242,3,2023,11,19,"Fall","Morning"
"Richmond",3,"H",40.5875003,-74.1851211,2023-11-20,"12:41:00","Traveling",275,4.006,1,2023,11,20,"Fall","Afternoon"
"Kings",1,"H",40.7362901,-73.9488846,2023-11-23,"14:50:00","Traveling",47,1.859,3,2023,11,23,"Fall","Afternoon"
"Queens",2,"H",40.6546016,-73.7547487,2023-12-05,"07:36:00","Traveling",240,3.219,4,2023,12,5,"Winter","Morning"
"Kings",2,"H",40.6523083,-73.9904281,2023-12-05,"10:17:00","Traveling",211,7.701,2,2023,12,5,"Winter","Morning"
"Westchester",4,"H",41.1871668,-73.8891219,2023-02-27,"17:35:00","Traveling",45,0.322,2,2023,2,27,"Winter","Evening"
"Westchester",1,"H",41.1871668,-73.8891219,2023-04-09,"06:50:00","Traveling",115,2.736,2,2023,4,9,"Spring","Morning"
"Nassau",1,"P",40.7967904,-73.5712847,2023-12-09,"12:38:00","Traveling",180,5.633,2,2023,12,9,"Winter","Afternoon"
"Nassau",2,"H",40.8315708,-73.5416646,2023-12-15,"15:15:00","Traveling",103,5.336,2,2023,12,15,"Winter","Afternoon"
"Suffolk",2,"H",40.9778569,-72.551946,2023-12-16,"06:23:00","Traveling",24,0.846,2,2023,12,16,"Winter","Morning"
"Ulster",1,"P",41.8633019,-73.987365,2023-12-08,"16:57:00","Stationary",1,NA,2,2023,12,8,"Winter","Afternoon"
"Queens",2,"H",40.6170296,-73.8244561,2023-12-16,"06:36:00","Traveling",324,8.1,4,2023,12,16,"Winter","Morning"
"Queens",1,"H",40.5506643,-73.9357889,2023-12-16,"06:17:00","Traveling",368,7.068,8,2023,12,16,"Winter","Morning"
"Dutchess",2,"P",41.7942019,-73.7398354,2023-12-17,"10:49:00","Traveling",87,2.736,2,2023,12,17,"Winter","Morning"
"Suffolk",1,"P",40.7428839,-73.1590641,2023-12-17,"06:42:00","Traveling",5,2.947,1,2023,12,17,"Winter","Morning"
"Queens",1,"H",40.6508384,-73.8492591,2023-12-16,"06:03:00","Traveling",39,1.076,3,2023,12,16,"Winter","Morning"
"Queens",1,"H",40.6188482,-73.8307995,2023-12-16,"05:28:00","Traveling",540,5.23,4,2023,12,16,"Winter","Morning"
"Suffolk",4,"H",40.6316712,-73.219918,2023-12-17,"05:30:00","Traveling",80,2.414,3,2023,12,17,"Winter","Morning"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-03,"15:26:00","Traveling",81,2.841,2,2024,1,3,"Winter","Afternoon"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-04,"15:58:00","Traveling",131,3.468,11,2024,1,4,"Winter","Afternoon"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-11,"16:07:00","Traveling",123,2.258,2,2024,1,11,"Winter","Afternoon"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-12,"10:11:00","Traveling",192,4.335,2,2024,1,12,"Winter","Morning"
"Washington",1,"P",43.0320392,-73.3304465,2019-03-29,"19:50:00","Stationary",10,NA,3,2019,3,29,"Spring","Evening"
"Washington",1,"P",43.0725885,-73.5015027,2019-07-20,"07:50:00","Traveling",250,4.828,3,2019,7,20,"Summer","Morning"
"Queens",4,"H",40.6170296,-73.8244561,2023-12-17,"05:52:00","Traveling",391,11.265,3,2023,12,17,"Winter","Morning"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-14,"08:59:00","Traveling",120,1.416,11,2024,1,14,"Winter","Morning"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-15,"08:07:00","Traveling",57,2.617,2,2024,1,15,"Winter","Morning"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-16,"16:11:00","Traveling",120,1.046,3,2024,1,16,"Winter","Afternoon"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-14,"10:32:00","Traveling",40,5.605,3,2024,1,14,"Winter","Morning"
"Kings",1,"H",40.6996104,-73.9973745,2024-01-18,"15:43:00","Traveling",96,2.578,2,2024,1,18,"Winter","Afternoon"
"Dutchess",2,"P",41.893547,-73.870613,2023-03-17,"19:33:00","Stationary",15,NA,2,2023,3,17,"Spring","Evening"
"Tompkins",3,"H",42.4379956,-76.3979816,2023-03-26,"19:01:00","Traveling",69,2.462,2,2023,3,26,"Spring","Evening"
"Kings",1,"H",40.6472791,-73.8624734,2023-04-05,"18:20:00","Traveling",121,0.4,9,2023,4,5,"Spring","Evening"
"Suffolk",1,"H",40.7129149,-73.1650615,2024-01-13,"12:42:00","Traveling",90,3.219,2,2024,1,13,"Winter","Afternoon"
"Rensselaer",2,"P",42.748687,-73.557022,2023-04-08,"19:20:00","Stationary",60,NA,1,2023,4,8,"Spring","Evening"
"Tompkins",4,"H",42.4339256,-76.3209647,2022-03-19,"23:31:00","Traveling",25,0.515,4,2022,3,19,"Spring","Night"
"Tioga",1,"P",42.1729398,-76.4035508,2023-07-04,"10:50:00","Traveling",115,1.77,3,2023,7,4,"Summer","Morning"
"New York",1,"H",40.7536729,-73.9832322,2019-05-30,"15:46:00","Traveling",19,0.161,2,2019,5,30,"Spring","Afternoon"
